,id,is_claimed,is_closed,review_count,rating,Restaurant Category 1,Restaurant Category 2,Restaurant Category 3,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Zip Code,Opening Time,Closing Time,Has Messaging
0,MhcT-tW4T6MF-533Art0GA,True,False,5,4.5,foodtrucks,indpak,,1,1,0,,3,Willis,TX,77318,,,1
1,GFohSClyVxTdwAKUDnWv9g,True,False,41,4.5,foodtrucks,tacos,,1,1,0,,3,Willis ,TX,77318,1200.0,2000.0,0
2,_h75tz-z3kSKl0bY9osdJw,True,False,1,5.0,foodtrucks,mexican,,0,0,0,,3,Willis,TX,77318,1700.0,2100.0,1
3,4DFZ_-LJ32v7_QmOfrn-jg,True,False,99,3.0,sportsbars,tradamerican,,1,1,0,Medium,3,Willis,TX,77318,1600.0,2300.0,0
4,sX74jgDzP8zDSx52AjNyYA,True,False,1,1.0,tacos,tex-mex,,0,1,0,,3,Willis,TX,77378,500.0,1600.0,0
5,_PwbWvW7yXEv0X316HeP4A,True,False,1,1.0,sandwiches,wraps,delis,0,0,0,,1,Willis,TX,77318,1100.0,1900.0,1
6,qT1M_-5XO9_dwqHAIcboYg,True,False,5,4.5,italian,chicken_wings,pizza,1,1,0,,2,Willis,TX,77318,,,0
7,QBfBnBs-5H6ii3C0og8Q1w,True,False,47,2.5,mexican,tex-mex,,1,1,0,Medium,3,Willis,TX,77318,1100.0,2100.0,1
8,XmtdhaUHA06UdOBlLwO9NA,True,False,40,2.0,delis,sandwiches,catering,1,1,0,Low,3,Willis,TX,77318,1000.0,2030.0,0
9,B5iewRaebSU3RaQrIUEBtw,True,False,9,2.0,pizza,chicken_wings,hotdogs,1,1,0,Low,3,West Willis,TX,77318,1000.0,2200.0,0
10,77KRuwwgvmKapQTl7MhpFg,True,False,8,2.5,hotdogs,burgers,,0,1,0,Low,3,Willis,TX,77318,600.0,0.0,0
11,sH4mvvj_zTVjsrl_H6whnQ,True,False,15,2.5,pizza,chicken_wings,hotdogs,0,1,0,Low,3,Willis,TX,77318,1100.0,2300.0,0
12,6FvK50j3NRh1Xs309E0LFA,True,False,18,2.0,hotdogs,icecream,burgers,1,1,0,Low,3,Willis,TX,77318,1030.0,2200.0,0
13,dKIQVg71CQM8_kput7ALsw,True,False,16,5.0,salvadoran,cocktailbars,,0,0,0,Medium,3,Willis,TX,77378,1030.0,2030.0,0
14,LIs44KSb46I1rklKBbxNiA,True,False,27,4.5,teppanyaki,steak,sushi,0,0,0,,3,Willis,TX,77318,1100.0,2130.0,1
15,z_yL6R10R-VhD9IyjnZxTg,True,False,1,5.0,pizza,,,1,1,0,,3,Willis,TX,77378,1030.0,2200.0,1
16,GLLeQp2h7c0bR1U6asCGQg,True,False,50,3.0,hotdogs,chickenshop,salad,0,1,0,Low,3,Willis,TX,77318,600.0,2200.0,0
17,VMxLZhdplys-yAv4qnqSXg,True,False,20,2.5,chinese,hotdogs,,1,1,0,,3,Willis,TX,77318,1030.0,2130.0,0
18,Q0jpa9W4Nged4Wxb5AoT0w,True,False,12,2.0,hotdogs,burgers,icecream,1,1,0,Low,3,Willis,TX,77378,600.0,2200.0,0
19,_PCaWcx9s36drT_FG9mTnw,True,False,34,2.5,chicken_wings,,,0,0,0,Low,3,Willis,TX,77378,1030.0,2300.0,1
20,xFi4qo1nKRVCWjF230EfZA,True,False,32,1.5,mexican,hotdogs,,0,1,0,Low,3,Willis,TX,77378,900.0,100.0,0
21,AQaaF9_qZkxfuz0x-ReAnA,True,False,18,1.5,hotdogs,chicken_wings,,1,1,0,,3,Willis,TX,77318,1030.0,2200.0,0
22,hnii-4NJuTIO37MtGKLM-Q,True,False,16,2.0,burgers,hotdogs,tacos,0,1,0,Low,3,Willis,TX,77378,0.0,0.0,0
23,gwXO1lWRmPmJ6dasYYEXXg,True,False,26,2.0,burgers,hotdogs,coffee,0,1,0,Low,3,Willis,TX,77378,0.0,0.0,0
24,0elPSMmnDNn02ig5xiN7eQ,True,False,33,3.0,burgers,hotdogs,,0,1,0,Low,3,Willis,TX,77318,0.0,0.0,0
25,_7BHw88w2wdAcl0cC-d8Mw,True,False,16,1.5,pizza,hotdogs,,0,0,0,Low,3,Willis,TX,77318,1030.0,2200.0,0
26,ObWRZp6flcT0nkKg-RvO4g,True,False,52,3.5,cajun,seafood,,1,1,0,Medium,3,Willis,TX,77378,1100.0,2000.0,1
27,jneVK2Rz7ZdAhP69qBwb0g,True,False,127,4.0,burgers,breakfast_brunch,sandwiches,0,1,0,Low,3,Willis,TX,77378,800.0,1800.0,0
28,u1KTDpo9W3SHWYcIr3iELQ,True,False,208,4.0,pizza,tradamerican,,0,1,0,Medium,3,Willis,TX,77378,1100.0,2100.0,0
29,kqTDjIi-9Sz4rH-R1W2DKQ,False,False,71,3.5,mexican,,,0,1,0,Medium,3,Willis,TX,77378,1100.0,2200.0,0
30,hrjEKoim3eLg3dq7AgsLEQ,True,False,3,4.5,mexican,juicebars,,0,1,0,,3,Willis,TX,77378,900.0,2100.0,0
31,551f58hlSxXDaGyIlZjv4w,False,False,25,4.5,mexican,,,0,1,0,,3,Willis,TX,77378,,,0
32,Z6_w66gP2Xdqw-4XD9ZPsw,False,False,4,5.0,tacos,breakfast_brunch,,0,0,0,,2,Willis,TX,77378,,,0
33,LhYqffJRgr0LA5Z9Vjx19Q,True,False,5,4.0,chickenshop,southern,hotdogs,0,1,0,,3,Willis,TX,77378,1030.0,2130.0,0
34,Sc_1dv4mQzEW4d7xnlvygQ,False,False,1,4.0,mexican,,,0,0,0,,3,Willis,TX,77378,,,0
35,xck6_4DhXo3jmCjBv2CNxA,False,False,1,4.0,mexican,icecream,,0,0,0,,3,Willis,TX,77378,,,0
36,TLGR8E1OgUDVn-r6Syfyzw,True,False,14,2.0,sandwiches,,,1,1,0,Low,3,Willis,TX,77378,800.0,2200.0,0
37,kf2x1Aq26I72rVblNPjQIw,True,False,1,1.0,tacos,tex-mex,,0,1,0,,3,Willis,TX,77378,500.0,1800.0,0
38,KSZRpQs9rWYwQjpDfZc3Kw,True,False,1,5.0,bakeries,tacos,,0,0,0,,1,Willis,TX,77378,,,1
39,jfkEi7O9VhI7DjemNIZktw,True,False,1,1.0,bbq,foodtrucks,sandwiches,0,0,0,,1,Willis,TX,77378,1030.0,2000.0,0
40,dsNVrhZAb-hxJipJrZMrrg,False,False,15,3.0,tradamerican,mexican,chicken_wings,0,0,0,,3,Montgomery,TX,77356,1100.0,2200.0,0
41,8FKPl6ubv0kDwhunrccj_w,True,False,29,4.5,newamerican,burgers,,1,1,0,Medium,3,Willis,TX,77378,600.0,1800.0,1
42,WYsQhJhXJeRyJs6ewg2B5A,True,False,61,4.5,bbq,catering,,0,0,0,Medium,3,Willis,TX,77318,1100.0,1800.0,0
43,ToYc-tLYppJan7JDNcMliQ,True,False,62,4.0,newamerican,venues,,0,0,0,Medium,3,Montgomery,TX,77356,1600.0,2100.0,0
44,ZWZDAeqch_knzlve4B2EPQ,True,False,52,3.5,bars,tradamerican,seafood,1,1,0,Medium,3,Willis,TX,77318,1100.0,2200.0,0
45,rlpvOWob42aU3p9CP_a5VA,True,False,72,2.5,tikibars,seafood,,0,0,0,Medium,3,Montgomery,TX,77356,1100.0,2300.0,0
46,b9CDqfxTWZ8_SLb3RaCC1A,True,False,19,3.0,tradamerican,seafood,cocktailbars,0,0,0,,3,Montgomery,TX,77356,800.0,1100.0,1
47,2PFcofEaz_eQxsQVkAkqYQ,False,False,3,1.0,cafes,,,0,0,0,,0,Montgomery,TX,77356,,,0
48,9CChIbZMgYWQ1hqP32lFgg,True,False,61,4.5,pizza,salad,italian,1,1,0,Medium,3,Montgomery,TX,77356,1600.0,2100.0,0
49,j85gB_NXe7g6VV8VYmwQFQ,True,False,34,4.0,bars,newamerican,,0,0,0,Medium,3,Montgomery,TX,77356,1130.0,2200.0,0
50,VSt93fVWMV6ljhknvumbEg,True,False,2,1.0,sandwiches,,,1,1,0,Low,3,Conroe,TX,77303,800.0,2200.0,0
51,JyTa2aqEwNQ2lEDCeFhcDQ,True,False,88,4.0,newamerican,gluten_free,cafes,0,1,0,,3,Montgomery,TX,77356,1100.0,2000.0,1
52,0ogsuf22mQfuTR4QCpcBew,True,False,170,4.0,diners,tradamerican,breakfast_brunch,1,1,0,Low,3,Montgomery,TX,77356,700.0,2100.0,0
53,LtB8fV-0MUa7LuAfkYei4w,False,False,24,3.5,mexican,,,0,0,0,,3,Montgomery,TX,77356,1100.0,2130.0,0
54,0GQMtc6FoLTX1p6b9VDizg,False,False,98,3.5,mexican,,,0,0,0,Medium,3,Montgomery,TX,77356,1100.0,2130.0,0
55,GMo_Fp8hAAdpMog-rj_grg,True,False,17,2.0,pizza,chicken_wings,hotdogs,0,0,0,Low,3,Montgomery,TX,77356,1100.0,2300.0,0
56,YTlHQTbuYvhW02Joig1N_Q,False,False,2,1.0,tex-mex,mexican,,0,0,0,,0,Montgomery,TX,77356,,,0
57,Cac6DNKmt0NFTLcOZUu2EA,False,False,1,1.0,mexican,,,0,0,0,,0,Montgomery,TX,77356,,,0
58,QG2dD5Skni99haz4PGUY9g,True,False,1,5.0,tacos,burgers,,0,0,0,,3,Montgomery,TX,77356,,,1
59,hGv86G3JxrYkomgtGD8hEw,True,False,4,4.0,italian,pizza,,0,0,0,,0,Montgomery,TX,77356,800.0,2000.0,1
60,wtQfijj8-6XBBa022uIZaQ,True,False,71,3.0,bbq,burgers,tradamerican,1,1,0,Medium,3,Montgomery,TX,77356,1000.0,2100.0,0
61,oXjE1Dvwx1cwqErrVn8mvA,True,False,7,3.5,bars,tradamerican,,0,0,0,,0,Montgomery,TX,77356,1100.0,1800.0,0
62,YGN5rNxaFMPN7T7qokDCdQ,True,False,60,2.0,burgers,hotdogs,,0,1,0,Low,3,Montgomery,TX,77356,0.0,0.0,0
63,oEH9UFUXsepqYuCdkkGOCg,True,False,13,2.5,pizza,chicken_wings,sandwiches,0,0,0,Low,3,Montgomery,TX,77356,1000.0,0.0,0
64,HpB9ypbeycu5qArHsSfTsg,False,False,183,4.5,burgers,diners,hotdogs,1,1,0,Medium,3,Montgomery,TX,77356,1100.0,2100.0,0
65,rI3BKXq4ZcXFnMYROIO-3g,True,False,14,2.0,sandwiches,,,1,1,0,Low,3,Montgomery,TX,77356,800.0,2300.0,0
66,GWAX6Q5jsY4KfHErydjYNQ,True,False,31,2.0,pizza,chicken_wings,hotdogs,1,1,0,Low,3,Montgomery,TX,77356,930.0,2300.0,0
67,irl9gY9GucxLf-dxAjVkzw,True,False,284,4.5,italian,pizza,,0,0,0,Medium,3,Montgomery,TX,77356,1100.0,2100.0,0
68,mMCU2WTNR6Vjc5vEmzTzjw,True,False,95,4.0,vietnamese,,,0,0,0,Low,3,Montgomery,TX,77356,1100.0,2100.0,0
69,N1_XmN332AexAsPWPFXwKw,True,False,55,3.5,steak,italian,seafood,0,1,0,Medium,3,Conroe,TX,77304,1630.0,2100.0,0
70,WBvmlMmJ7zH6KF7wOzpBRQ,False,False,3,4.5,tradamerican,burgers,,0,0,0,,1,Panorama Village,TX,77304,1100.0,1900.0,0
71,xPRcNpf9gGlVl6DgrrydUw,True,False,6,5.0,creperies,desserts,pizza,1,1,0,,3,Conroe,TX,77304,600.0,1800.0,1
72,mm2vcSyVMm3OGYnV98K6Ng,True,False,165,3.0,tradamerican,breakfast_brunch,southern,1,1,0,Medium,3,Conroe,TX,77304,700.0,2200.0,0
73,v_-5HHMW3IuTmFSFyW_1pw,True,False,10,2.0,hotdogs,burgers,tacos,0,1,0,Low,3,Conroe,TX,77304,500.0,100.0,0
74,vY8ohvzP5tT4DyPbgw2tkA,True,False,144,3.0,mexican,soup,salad,0,1,0,Medium,3,Conroe,TX,77303,1100.0,2200.0,1
75,E3yNQWihVA5dkJzhoG-o_A,True,False,35,3.0,diners,breakfast_brunch,tradamerican,0,1,0,Low,3,Conroe,TX,77303,0.0,0.0,0
76,35WUG06g-P-G-w1RmzE5yA,True,False,13,1.5,mexican,hotdogs,,0,1,0,,3,Conroe,TX,77303,900.0,100.0,0
77,4z7hEEisHuO5DN63Z61owg,True,False,22,2.0,burgers,hotdogs,,0,1,0,Low,3,Conroe,TX,77303,1000.0,0.0,0
78,Xr5RNORH77Ue0oC1D5lLiQ,True,False,13,2.5,hotdogs,burgers,coffee,0,1,0,Low,3,Conroe,TX,77303,0.0,0.0,0
79,YkxllzaO7VcQfmigJp23DQ,True,False,717,5.0,delis,italian,sandwiches,1,1,0,Medium,3,Montgomery,TX,77356,1100.0,1930.0,0
80,NtQv95Q1kalUrX5m4NKlFw,True,False,239,4.0,mexican,,,0,1,0,Medium,3,Montgomery,TX,77356,1100.0,2130.0,0
81,R0U1YhTL806IqsDmCn1U6Q,True,False,157,4.5,thai,,,0,1,0,Medium,3,Montgomery,TX,77316,1100.0,1500.0,0
82,m8WPlFlYthFhqiYptd98sA,False,False,37,2.5,chinese,,,0,1,0,Medium,3,Montgomery,TX,77356,1100.0,2130.0,0
83,gA0CzfbRj7ElUWJDF9zH0Q,True,False,38,4.0,tradamerican,breakfast_brunch,,0,0,0,Medium,3,Montgomery,TX,77356,800.0,2100.0,1
84,2K5_qQEsbksTpeud-kjDEw,True,False,4,4.0,japanese,sushi,bars,0,0,0,,3,Montgomery,TX,77356,,,1
85,f5wOfoJwk0bCDRQpFuD0MQ,False,False,205,3.5,japanese,sushi,asianfusion,0,1,0,Medium,3,Montgomery,TX,77356,1100.0,2200.0,0
86,2Ofv2K_x_ogv7IA5cgPRZQ,True,False,5,3.5,tradamerican,breakfast_brunch,diners,0,0,0,,3,Lake Conroe,TX,77316,0.0,0.0,0
87,sjyF2PN9KPxqVrl8k3Rgcg,True,False,78,2.0,salad,soup,sandwiches,1,0,0,Medium,3,Montgomery,TX,77356,600.0,2130.0,0
88,cfjD70MSTpW3j00uX-yneQ,True,False,38,3.5,sandwiches,,,1,1,0,Low,3,Montgomery,TX,77356,1000.0,2100.0,0
89,1RJI0bFHJMc-YXIXeGNE6A,True,False,8,2.5,chicken_wings,,,0,0,0,,3,Montgomery,TX,77356,1030.0,2200.0,1
90,xFP9soVn5MMJ1dOh3LTnjw,True,False,25,2.0,hotdogs,burgers,coffee,0,1,0,Low,1,Montgomery,TX,77356,500.0,2300.0,0
91,B_3Qv4PCBfwLgrreg4fSPg,True,False,2,1.0,burgers,hotdogs,,0,1,0,,1,Montgomery,TX,77316,,,0
92,DYrjx2-p-SBdYpsenh3U7w,True,False,190,4.0,sportsbars,cajun,,0,1,0,Medium,3,Montgomery,TX,77356,1100.0,2200.0,0
93,1wDhTUU3PUk6U4A32Kv6Pg,True,False,91,3.0,tradamerican,,,0,0,0,Medium,3,Montgomery,TX,77356,1100.0,2200.0,1
94,mC-ccdoC7ofVqDyyYEhEug,True,False,365,3.5,tex-mex,bars,musicvenues,0,1,0,Medium,3,Conroe,TX,77356,1100.0,2100.0,0
